Word, Length, #Unique Characters, Optimal Guesses Required, Optimal Incorrect Guesses Required, Optimal Guesses, Optimal options at 10, Easy Guesses Required, Easy Incorrect Guesses Required, Easy options at 10
abducts, 7, 7, 7, 3, e i a o u t s,0,7,4,0
aboard, 6, 5, 6, 4, e a s i t b,0,4,2,0
abrogating, 10, 8, 5, 1, e i n g t,0,8,2,0
absorbers, 9, 6, 5, 1, e s r o i,0,7,3,0
abusiveness, 11, 8, 4, 1, e n s r,0,3,1,0
acceptable, 10, 7, 6, 1, e a t l b s,0,7,4,0
accomplices, 11, 9, 4, 0, e i s o,0,4,1,0
accumulative, 12, 9, 5, 3, i n r l g,0,3,0,0
achingly, 8, 8, 6, 3, e i a y o t,0,5,3,0
acquiring, 9, 8, 5, 1, e i n g r,0,8,4,0
actives, 7, 7, 6, 2, e r d s i c,0,6,2,0
adapted, 7, 5, 4, 1, e r d a,0,8,5,0
adenine, 7, 5, 5, 2, e r s a n,0,4,2,0
adjudges, 8, 7, 5, 2, e s i a o,0,7,4,0
admiringly, 10, 9, 7, 1, e i l y g n r,0,5,3,0
adornments, 10, 9, 4, 0, e s o d,0,4,0,0
adventures, 10, 9, 7, 0, e r u t n v d,0,7,2,0
aerate, 6, 4, 3, 0, e r a,0,3,0,0
affected, 8, 6, 7, 3, e d t n s c j,0,12,7,0
affray, 6, 4, 5, 3, e a r t o,0,7,6,0
age, 3, 3, 11, 8, a e y x w v t r p l g,0,17,14,8
agitatedly, 10, 8, 7, 1, e s i l y d t,0,2,0,0
aground, 7, 7, 6, 3, e i a o r y,0,6,3,0
airframe, 8, 6, 5, 2, e a t p m,0,7,4,0
akimbo, 6, 6, 6, 4, e a i s l t,0,5,2,0
alehouse, 8, 7, 4, 1, e r a o,0,4,1,0
aligns, 6, 6, 5, 1, e a i s n,0,6,3,0
alleviate, 9, 6, 2, 0, e i,0,5,1,0
alloys, 6, 5, 8, 3, e a i o s r l y,0,18,14,2
alphas, 6, 5, 4, 2, e a r l,0,7,5,0
alumnus, 7, 6, 5, 3, e i a o u,0,6,4,0
ambitiously, 11, 10, 7, 1, e i l y s u o,0,5,1,0
amiableness, 11, 8, 6, 0, e n s i l b,0,3,1,0
amours, 6, 6, 7, 4, e a i o n s t,0,6,4,0
an, 2, 2, 7, 5, o e i a t s n,0,6,4,0
analytically, 12, 7, 3, 0, i a y,0,3,1,0
anemia, 6, 5, 7, 2, e s r n i m a,0,5,2,0
animals, 7, 6, 5, 3, e i r l y,0,5,3,0
anniversary, 11, 8, 4, 0, e n y r,0,3,1,0
anomaly, 7, 6, 7, 4, e i a s d y l,0,7,4,0
anthem, 6, 6, 6, 3, e r d s t m,0,8,4,0
antigenic, 9, 7, 4, 2, e s r i,0,3,0,0
anxious, 7, 7, 4, 1, e i s n,0,5,2,0
apiaries, 8, 6, 6, 1, e s i r a v,0,16,10,2
apparatus, 9, 6, 4, 2, e i a s,0,5,3,0
applauds, 8, 6, 5, 3, e i a r l,0,7,5,0
appreciably, 11, 9, 4, 1, e n r i,0,3,1,0
approximately, 13, 11, 3, 1, i n e,0,5,0,0
araks, 5, 4, 5, 1, e s a r k,0,20,17,2
archdiocese, 11, 9, 2, 0, e s,0,3,1,0
arent, 5, 5, 5, 1, e s a t r,0,8,3,0
armchair, 8, 6, 3, 1, e i a,0,5,3,0
arrases, 7, 4, 4, 1, e r a d,0,7,4,0
arthropods, 10, 8, 5, 3, e i o g r,0,5,2,0
ascends, 7, 6, 6, 1, e a s c n t,0,7,3,0
aslant, 6, 5, 3, 1, e a s,0,7,3,0
assaulted, 9, 7, 2, 0, e s,0,3,0,0
assignations, 12, 7, 2, 0, i s,0,6,1,0
assure, 6, 5, 7, 2, e l i a u s r,0,8,4,0
astronomic, 10, 9, 3, 1, e i o,0,4,1,0
atlases, 7, 5, 7, 4, e r d s u o l,0,3,0,0
attacks, 7, 5, 4, 3, e i a l,0,5,3,0
attorney, 8, 7, 5, 2, e s d r a,0,3,0,0
auditioned, 10, 8, 3, 1, e s d,0,3,0,0
austerely, 9, 8, 5, 1, e s y l n,0,6,3,0
autocratically, 14, 9, 2, 0, i a,0,3,1,0
avaricious, 10, 8, 7, 1, e i s o r u c,0,4,2,0
avowals, 7, 6, 5, 3, e i a s n,0,6,4,0
axed, 4, 4, 6, 2, e s d i a x,0,18,15,4
babyish, 7, 6, 11, 7, e i n s h o a w l d f,0,17,13,3
backpedalling, 13, 11, 5, 1, i n g r l,0,3,1,0
badgered, 8, 6, 4, 1, e d g t,0,11,7,0
bait, 4, 4, 11, 8, e a s l r n t f i w g,0,18,15,3
ballbearing, 11, 8, 5, 0, e n i g r,0,8,3,0
banality, 8, 7, 5, 1, e i n a t,0,6,2,0
bankrupt, 8, 8, 8, 4, e i a o u n f t,0,5,3,0
barbecued, 9, 7, 7, 3, e s d n r a l,0,10,7,0
barmaids, 8, 7, 6, 3, e i n s a t,0,6,4,0
bartered, 8, 6, 4, 1, e d r n,0,8,4,0
basks, 5, 4, 8, 5, e s t a p k m c,0,16,14,5
batmen, 6, 6, 7, 3, e r d s t m n,0,6,2,0
bawdier, 7, 7, 8, 2, e r i s a n b d,0,11,6,0
beaming, 7, 7, 11, 4, e i n g a l r t h b m,0,14,9,3
beau, 4, 4, 9, 5, e s a l r t d b u,0,13,10,5
bedfellow, 9, 7, 4, 2, e r n o,0,5,3,0
beep, 4, 3, 9, 7, e s d k r t p w j,0,20,17,15
begin, 5, 5, 10, 6, e s a r t n o g b u,0,7,4,0
being, 5, 5, 6, 4, e s a r t n,0,7,4,0
bellicose, 9, 7, 5, 2, e r a i s,0,7,3,0
benediction, 11, 8, 3, 0, e i d,0,6,1,0
berlin, 6, 6, 7, 3, e r i m n k o,0,10,5,0
bests, 5, 4, 8, 5, e s t v r p n j,0,20,16,4
bewildering, 11, 9, 5, 0, e r g n d,0,9,5,0
bidet, 5, 5, 8, 5, e s d r o n t a,0,10,7,0
billable, 8, 5, 4, 0, e a l b,0,10,6,0
biochemically, 13, 10, 2, 1, i t,0,3,1,0
biplanes, 8, 8, 6, 1, e s i a t l,0,6,2,0
bistro, 6, 6, 5, 2, e a i s o,0,4,2,0
blackbirds, 10, 9, 5, 3, e i s o n,0,5,3,0
blameless, 9, 6, 4, 1, e s n l,0,8,5,0
blaze, 5, 5, 9, 4, e a s r l p g b z,0,17,14,5
blesses, 7, 4, 5, 3, e r d s u,0,10,7,0
blob, 4, 3, 6, 3, e a o l p b,0,18,16,11
bloodshot, 9, 7, 4, 3, e i a o,0,4,2,0
blows, 5, 5, 10, 6, e s a o l p c w g f,0,18,14,8
bluntly, 7, 6, 7, 4, e i a o u y l,0,6,4,0
boat, 4, 4, 11, 8, e a r l s h o t m g c,0,17,14,3
bogeymen, 8, 7, 5, 3, e d s r n,0,6,3,0
bombardier, 10, 8, 3, 1, e s d,0,5,1,0
bony, 4, 4, 12, 9, e a o s l r n d y t p c,1,17,15,7
boomerang, 9, 8, 5, 2, e i r u a,0,4,1,0
borderline, 10, 8, 2, 0, e r,0,6,2,0
botany, 6, 6, 8, 4, e a s i t o y r,0,6,2,0
bounded, 7, 6, 12, 7, e r d o u n w s p m h f,0,18,13,4
boxers, 6, 6, 12, 8, e s r a i o w v n k c y,0,20,15,8
braided, 7, 6, 6, 1, e r d b a n,0,8,4,0
brands, 6, 6, 9, 5, e a s r n g k u c,0,17,12,2
brazil, 6, 6, 7, 4, e a s r y i c,0,8,5,0
breasted, 8, 7, 3, 0, e r s,0,3,0,0
brewed, 6, 5, 6, 3, e d w s c i,0,17,14,3
briefed, 7, 6, 5, 1, e r i v f,0,15,10,2
brisbane, 8, 7, 6, 3, e a t c g i,0,6,2,0
brochure, 8, 7, 6, 2, e a i o u r,0,5,3,0
brotherinlaw, 12, 11, 3, 0, i e a,0,3,0,0
